No.,MODE,DEVICE,ACTUAL,REFER.,MEASURE,LIMIT-,(-%),LIMIT+,(+%),OFFSET,Delay,Bias,H-PIN,L-PIN,G-1,G-2,G-3,G-4,G-5,X,Y,AB,SKIP
1,DT.NPN,Q1......,.......,"2.050 V","2.047 V","1.743 V",15,"2.358 V",15,"0.000 V",0,2.0V,20,0,0,0,0,0,0,*,*,A
2,DT.NPN,Q1......,.......,"0.852 V","0.821 V","0.724 V",15,"0.980 V",15,"0.000 V",5,2.0V,20,30,0,0,0,0,0,*,*,A
3,DT.NPN,Q2......,.......,"2.014 V","2.047 V","1.712 V",15,"2.316 V",15,"0.000 V",0,2.0V,21,0,0,0,0,0,0,*,*,A
4,DT.NPN,Q2......,.......,"0.797 V","0.826 V","0.677 V",15,"0.917 V",15,"0.000 V",0,2.0V,21,30,0,0,0,0,0,*,*,A
5,DT.NPN,Q3......,.......,"2.014 V","2.047 V","1.712 V",15,"2.316 V",15,"0.000 V",0,2.0V,22,0,0,0,0,0,0,*,*,A
6,DT.NPN,Q3......,.......,"0.797 V","0.835 V","0.677 V",15,"0.917 V",15,"0.000 V",0,2.0V,22,30,0,0,0,0,0,*,*,A
7,DT.NPN,DT1.....,.......,"1.704 V","1.774 V","1.448 V",15,"2.130 V",25,"0.000 V",0,2.0V,26,27,0,0,0,0,0,*,*,A
8,DT.NPN,DT1.....,.......,"0.770 V","0.807 V","0.662 V",14,"0.886 V",15,"0.000 V",0,2.0V,26,30,0,0,0,0,0,*,*,A
9,"C. AC",C7......,0.01uF.,10.00nF,10.57nF," 7.00nF",30,13.00nF,30," 0.00nF",0,,11,12,30,0,0,0,0,*,*,A
10,"C. AC",C8......,0.01uF.,10.00nF,11.45nF," 7.00nF",30,13.00nF,30," 0.00nF",0,,14,13,30,0,0,0,0,*,*,A
11,"C. AC",C9......,0.01uF.,10.00nF,11.50nF," 7.00nF",30,13.00nF,30," 0.00nF",0,,16,15,30,0,0,0,0,*,*,A
12,"C. AC",C11//C103,0.1uF..," 27.1uF"," 23.2uF"," 19.0uF",30," 35.2uF",30,"  0.0uF",0,,17,30,0,0,0,0,0,*,*,A
13,R.,R1......,560.0..,0.560Ko,0.557Ko,0.504Ko,10,0.616Ko,10,0.000Ko,10,,17,33,30,0,0,0,0,*,*,A
